email,Site Name,Level 1,Level 2,Level 3
user1@gmail.com,Economic Times,Markets,Stocks,Top Gainers
user1@gmail.com,Economic Times,Markets,Stocks,Stock Screener
user1@gmail.com,Economic Times,Markets,Mutual Funds,Top Funds
user1@gmail.com,Economic Times,Wealth,Personal Finance,
user1@gmail.com,Economic Times,ET Prime,Markets,
user2@gmail.com,Economic Times,News,Politics,
user2@gmail.com,Economic Times,News,International,
user2@gmail.com,Economic Times,Economy,Policy,
user2@gmail.com,Economic Times,Economy,Indicators,
user2@gmail.com,Economic Times,Opinion,,
user3@gmail.com,Economic Times,Tech,Startups,
user3@gmail.com,Economic Times,Tech,Internet,
user3@gmail.com,Economic Times,Tech,Gadgets,
user3@gmail.com,Economic Times,ET Prime,Technology,
user3@gmail.com,Economic Times,News,Latest News,
user4@gmail.com,Economic Times,Markets,Indices,Nifty 50
user4@gmail.com,Economic Times,Markets,Indices,Sensex
user4@gmail.com,Economic Times,Markets,Commodities,Gold
user4@gmail.com,Economic Times,Markets,Forex,USD-INR
user4@gmail.com,Economic Times,Markets,Technicals,
user5@gmail.com,Economic Times,Industry,IT & Telecom,
user5@gmail.com,Economic Times,Industry,Auto,
user5@gmail.com,Economic Times,Industry,Energy,
user5@gmail.com,Economic Times,Wealth,Tax,
user5@gmail.com,Economic Times,Jobs,,
